epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
7,20.4777,1.27716,3.85723,0.95022,0,0,0,0,1.18773,4.44106,1.0465,0.0940529,5.2872e-05,5.2872e-05
8,26.573,1.08748,3.63068,0.96349,0,0,0,0,1.22486,4.38979,1.05707,0.0930603,6.0298e-05,6.0298e-05
9,32.4108,1.65607,4.12561,1.09552,0,0,0,0,1.22486,4.38979,1.05707,0.0920673,6.7328e-05,6.7328e-05
10,38.603,1.05272,3.7176,0.99661,0,0,0,0,1.16024,4.37752,1.05069,0.091074,7.3962e-05,7.3962e-05
11,41.0559,1.27871,3.64968,0.95169,0,0,0,0,1.16024,4.37752,1.05069,0.0900802,8.02e-05,8.02e-05
12,43.7047,1.07388,3.5286,1.01732,0,0,0,0,1.18725,4.32584,1.05972,0.089086,8.6042e-05,8.6042e-05
13,46.2555,1.36728,3.46299,1.13206,0,0,0,0,1.18725,4.32584,1.05972,0.0880915,9.1488e-05,9.1488e-05
14,48.8417,0.96062,3.26861,0.95085,0,0,0,0,1.15098,4.24987,1.04109,0.0870965,9.6538e-05,9.6538e-05
15,51.4035,0.96043,3.03533,0.94434,0,0,0,0,1.15098,4.24987,1.04109,0.0861012,0.000101192,0.000101192
16,54.0014,0.90176,3.27142,0.97895,0,0,0,0,1.11519,4.224,1.01391,0.0851054,0.00010545,0.00010545
17,56.7208,1.39933,2.98764,1.17697,0,0,0,0,1.11519,4.224,1.01391,0.0841093,0.000109312,0.000109312
18,59.1659,1.0748,3.03064,0.94764,0.16667,0.25,0.11233,0.05617,1.1903,4.21849,1.02002,0.0831128,0.000112778,0.000112778
19,61.6908,0.98547,2.92001,0.87754,0.16667,0.25,0.11233,0.05617,1.1903,4.21849,1.02002,0.0821158,0.000115848,0.000115848
20,64.2643,0.8876,2.58343,0.88669,0.09091,0.25,0.0958,0.0479,1.27118,4.21154,1.03987,0.0811185,0.000118522,0.000118522
21,66.9848,0.83051,3.40096,0.91522,0.09091,0.25,0.0958,0.0479,1.27118,4.21154,1.03987,0.0801208,0.0001208,0.0001208
22,69.8401,1.06066,2.8956,0.94236,0.125,0.25,0.10875,0.05437,1.28541,4.16502,1.06064,0.0791227,0.000122682,0.000122682
23,72.7793,0.7789,2.39712,0.83912,0.125,0.25,0.10875,0.05437,1.28541,4.16502,1.06064,0.0781242,0.000124168,0.000124168
24,75.9438,0.96852,2.27471,0.95375,0.125,0.25,0.10875,0.05437,1.28541,4.16502,1.06064,0.0771253,0.000125258,0.000125258
25,78.8353,0.67362,2.58234,1.04986,0,0,0,0,1.25043,4.15022,1.04507,0.076126,0.000125952,0.000125952
